"move","input","cancel","damage","p1","p2","guard","level","attribute","startup","active","recovery","frame_adv_block","counterhit","untechable"
"Three Dragons: White","236A[e]","R",710,90,90,"LA",4,"F",11,3,30,-14,28,34
"Three Dragons: White (followup)","236A[e]","R",710,90,90,"LA",4,"HB",11,3,30,-14,28,34
"Three Dragons: Green","236B[e]","R",740,100,90,"All",4,"HB",10,4,"23+15landing",-23,"4F after landing",44
"Three Dragons: Green (air)","j.236B[e]","R",760,100,90,"All",4,"H",5,4,"15landing","-","4F after landing",44
"Three Dragons: Red","236C[e]","R",700,80,80,"HA",4,"H",26,3,"11+12landing",-7,"5F after landing",38
"Three Dragons: Red (followup)","236C[e]","R",800,90,90,"HA",4,"HB",23,2,"15+12landing",-10,"5F after landing",38
"Three Dragons: Red (air)","j.236C[e]","R",690,80,80,"HA",4,"H",26,3,"11landing",3,"4F after landing",34
"Three Dragons: Red (air, followup)","j.236C[e]","R",790,90,90,"HA",4,"H",21,3,"10landing","-","4F after landing",34
"Reach: Last Chance","63214A[e]","-","-","-","-","-","-","-","-","-","Total ~30F","-","see notes","-"
"One Shot","A while standing on staff","R",720,100,90,"All",2,"H",11,2,17,"-","All",48
"Three Dragons: Green","B while standing on staff","R",760,100,100,"All",4,"H",17,4,"5+11landing",-1,"before landing",40
"Three Dragons: Red","C while standing on staff","R",690,80,80,"HA",4,"H",21,3,"5+11landing",0,"4F after landing",34
"Reach: Robbing the Kong","63214B[e]","-",690,90,92,"All",4,"HBP","-",33,"Total 32",12,"All",19
"Reach: Kong on Kong","63214C[e]","-","-","-","-","-","-","-","-","-","see notes","-","All","-"
"The Four Winds (5D placement)","41236D[e]","-","520x7",80,80,"All",4,"HBP",44,54,"Total 38","-","All",32
"The Four Winds (2D placement)","41236D[e]","-","480x4",80,80,"All",4,"HBP",45,34,"Total 44","-","All",28
"Kote Gaeshi (forwards)","623D[e]","see notes","-","-","-","-","-","-","-","-","Total 22","-","All","-"
"Kote Gaeshi (backwards)","421D[e]","see notes","-","-","-","-","-","-","-","-","Total 21","-","All","-"
"Kote Gaeshi (air, forwards)","j.623D[e]","see notes","-","-","-","-","-","-","-","-","Total 20","-","All","-"
"Kote Gaeshi (air, backwards)","j.421D[e]","see notes","-","-","-","-","-","-","-","-","Total 19","-","All","-"
"Thirteen Orphans","632146D[e]","-","250x16",85,85,"All",3,"HBP",30,"see notes","Total 61",202,"All",40
"All Green","6428C","R",2000,75,85,"All",4,"HBFP",6,2,"Total 37",-9,"All",70
"The Great Wheel","632146D[m]","-","360xn, 1020","85, 100","90, 92","All",4,"HBP, HBFP",27,"see notes","Total 66","-","All","60, 120"
"Nine Gates of Heaven","while standing on staff [4]6D","-","Death","-","-","All",4,"HB",26,"before landing","75F after landing","-","24F after landing","-"
