move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,Notes
"Backhand Punch",HL,50,200,60,-,3,2,20,-4,0,,
"Reverse Spin Kick(Back+MK)",HL,30,50,20,sp/su,10,2,17,-1,+2,,
"Spin Kick(Forward+LK)",HL,70,100,40,-,4,4,9,0,+4,,
"Hammer Kick(Forward+MK)",H,80,100,40,-,26,2,10,+3,+5,,
Sazan(Downforward+MK),L,70,100,20,-,7,11,11,-11,-5,,
"Bansho Kick(Forward+HK)",HL,100,210,60,-,13,2,21,-5,-1,,
"Ruishi Jump",-,-,-,-,-,-,-,55,-,-,,
"(3) &gt; Forward+MK",H,40,50,20,-,3,7,-,-,-,,
"(4) &gt; Forward+MK",H,40,50,20,-,4,7,-,-,-,,
"??LP &gt; Forward+HP",H,70,150,30,-,4,5,-,-,-,,
"LP &gt; MP (1)",HL,30*60,50*50,40*40,sp/su,5,1*2,11,-1,+3,,
"LP &gt; MP &gt; HP",HL,100,60,30,sp/su,2,3,10,+1,+4,,
"LP &gt; MP (5)",HL,40,50,20,-,4,3,9,+2,+5,,
"(5) &gt; Forward+LK",HL,20,30,10,-,4,4,9,-1,+2,,
"(1) &gt; Down+HK (6)",L,60,60,30,-,4,2,25,-9,-,,
"(6) &gt; HK",HL,60,60,30,J,5,3,18,-7,-,,
"Back+MK &gt; Forward+MK",H,80,100,40,-,26,2,12,+1,+3,,
"(2) &gt; MK (7)",HL,40,50,20,sp/su,4,4,14,-4,+1,,
"(7) &gt; HK",HL,60,60,30,-,5,3,18,-3,+1,,
"Down + HK &gt; HK",HL,60,60,30,J,5,3,18,-7,-,,
"Focus Attack LVL1",HL,60,100,20,-,21,2,34,-20,-20,,
"Focus Attack LVL2",HL,80,150,40,-,17+12,2,34,-14,-,,
"Focus Attack LVL3",-,140,200,60,-,65,2,34,-,-,,
"Forward Throw",0.90,130,140,40,-,3,2,20,-,-,,
"Back Throw",0.90,130,120,40,-,3,2,20,-,-,,
"Air Throw",1.10,150,100,40,-,3,2,-,-,-,,
Kunai,HL,30,60,10/10,su,7,-,16,-,-,,
"Kunai EX",HL,50*50,100*100,-250/0,-,8,-,9,-,-,,
??,-,-,-,20/-,sp/su,-,-,50,-,-,,
"Neck Breaker LP",L,120,200,30/30,-,15,10,16,-13,-,,
"Neck Breaker MP",L,120,200,30/30,-,15,12,17,-13,-,,
"Neck Breaker HP",L,120,200,30/30,-,15,21,19,-13,-,,
"Neck Breaker EX",L,160,250,-250/0,-,15,14,19,-13,-,,
"Raida LP",HL,110,200,10/30,-,6,5,25,-14,-,,
"Raida MP",HL,110,200,10/30,-,6,5,27,-16,-,,
"Raida HP",HL,110,200,10/30,-,6,5,29,-18,-,,
"Raida EX",HL,140,250,-250/0,-,6,5,20,-9,-,,
???,-,-,-,-,-,-,-,???,-,-,,
"Kazegiri LK",HL,50*20*65,40x3,10/20x3,su,5,1*1*11,17+8,-27,-,,
"Kazegiri MK",HL,50*20*75,40x3,10/20x3,su,7,1*1*11,18+10,-30,-,,
"Kazegiri HK",HL,50*20*90,40x3,10/20x3,su,9,1*1*11,15+10,-27,-,,
"Kazegiri EX",HL,40*40*80,40x3,-250/0,su,5,3*4(2)8,25+14,-26,-,,
"Tsumuji LK",HL,50*50,50*60,10/20*20,-,12,2(10)2,16,-4,+3,,
"Tsumuji MK",HL,35*35,70*60,10/20*20,-,15,2(12)2,14,0,+4,,
"Tsumuji MK (???)",HL,50,60,10/20,-,14,2,17,-3,+1,,
"Tsumuji MK (???)",HL,20,60,10/20,-,17,2,15,-2,-,,
"Tsumuji HK",HL,50*40,70*60,10/20*20,su,15,2(14)2,20,-4,0,,
"Tsumuji HK (???)",HL,50,70,10/20,-,15,2,19,-5,-1,,
"Tsumuji HK (???)",HL,20,60,10/20,-,18,2,25,-9,-,,
"Tsumuji EX",HL,40*30X3,60x3*70,-250/0,-,12,???,9,-2,-,,
"Tsumuji EX (2,3&nbsp;???)",L,30,50,-/0,-,12,2,-,-,-,,
"Tsumuji EX (4&nbsp;???)",L,25,70,-/0,-,12,2,12,-2,-,,
"Hien LK",H,40*75,70*70,10/0*20,-,25,7,6+11,-,-,,
"Hien MK",H,40*90,70*70,10/0*40,-,27,7,6+11,-,-,,
"Hien HK",H,40*110,70*90,10/0*60,-,28,7,6+11,-,-,,
"Hien EX",H,40x3*50,70*0*0*200,-250/0,-,36,12,19+11,-,-,,
"Hien (???)",-,-,-,-,sp/su,-,-,8,-,-,,
"Super Combo LP",HL,(27*28)x6,0,-1000/0,-,1+7,-,5,-,-,,
"Ultra Combo 1",(1.10)*HLx7,501[38*45*38x4*39],0[50*0x6],0/0,-,0+1[13],2(10)17,107,-5,-1,,
"Ultra Combo 2",HL,30x6*289,0,0/0,-,0+9,2(2)2(15)2(26)1*2(8)2,70,-63,-,,
