move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,"Block Stun","Hit Stun",Notes
"Bushin Senpukyaku "," HL"," 50x3"," 100*50x2"," 20/12x3",-0,9," 2(6)2(6)2"," 16+19",-16,-0,-0,-0,
"Bushin Senpukyaku ",-0," 50*20*20*70"," 50x4"," 20/12*10x3",-0,6," 3(6)1(7)1(6)"," 16+19",-0,-0,-0,-0,
"Bushin Senpukyaku "," HL"," 50x4"," 100*50x3"," -250/0",-0,4," 1(6)1(6)1(5)2"," 16+19",-29,-0,-0,-0,
"Bushin Flip",-0,-0,-0," 20/-",-0,-0,-0,70,-0,-0,-0,-0,
"Bushin Flip ",-0,-0,-0," -250/-",-0,-0,-0,65,-0,-0,-0,-0,
"Bushin Izuna Otoshi",0.8,200,150," 0/40",-0,1,1,8,-0,-0,-0,-0,
"Bushin Flip Elbow Drop"," HL",80,100," 0/40",-0,13," until ground",8,-0,-0,-0,-0,
Run,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,
"Sudden Stop",-0,-0,-0,0,-0,-0,-0,17,-0,-0,-0,-0,
"Shadow Kick"," L",90,100," 10/60"," su"," 4+9",6,22,-10,-0,-0,-0,
"Neck Flip"," HL*H"," 100*70"," 100*100"," 10/40*40",-0," 4+22"," 2*3",20,-6,2,-0,-0,
"Run ",-0,-0,-0," -250/-",-0,-0,-0,-0,-0,-0,-0,-0,
"Sudden Stop (from Run )",-0,-0,-0,0,-0,-0,-0,17,-0,-0,-0,-0,
"Shadow Kick (from Run )"," L",120,100," 0/60"," su"," 10+9",13,14,-9,-0,-0,-0,
"Neck Flip (from Run )"," HL*H"," 100*70"," 200*100"," 0/40*40",-0," 10+23"," 2*3",20,-6,2,-0,-0,
"Kaiten Izuna Otoshi",1,180,180," 10/80",-0,3,2,-0,-0,-0,-0,-0,
"Kaiten Izuna Otoshi ",1,170,180," -250/0",-0,3,3,-0,-0,-0,-0,-0,
"Super Combo"," HL"," 50*40x5*100",0," -1000/0",-0," 1+7",2," 10+18",-15,-0,-0,-0,
"Ultra Combo 1"," HL"," 29*27x3*350",0,0,-0," 1+11"," 2(11)2(16)2(17)1",40,-20,-0,-0,-0,
"Ultra Combo 2",0.9,500,0,0,-0," 1+1",2,38,-0,-0,-0,-0,
