move,Hits,block,damage,stun,startup,active,recovery,frame_adv_hit,frame_adv_block,cancel,Notes
"EX Patriot Circle EP",7,HL,"15x6,10",10x7,12,19,21,-,-7,SU,"Soft knockdown, all hits cause limited juggle state, final hit causes free juggle state on ground foes, all hits juggle potential 7, first 6 hits don't increase juggle count"
Backflip,-,-,-,-,-,-,-,-,-,-,"1-11 invincible, 12-26 airborn, 27-35 landing recovery (27-28 recovery with MDA cancel) distance back 0.84"
"LP M.D.Attack",1,HL,120,200,"Backflip +3",14,10,-2,-8,SU,"Armor Break, soft knockdown on counterhit or vs airborn, 1-26 projectile invincible, travels 25% screen distance"
"MP M.D.Attack",1,HL,120,200,"Backflip +3",14,10,-2,-8,SU,"Armor Break, soft knockdown on counterhit or vs airborn, 1-26 projectile invincible, travels 50% screen distance"
"HP M.D.Attack",1,HL,120,200,"Backflip +3",16,9,-2,-8,SU,"Armor Break, soft knockdown on counterhit or vs airborne, 1-27 projectile invincible, travels 65% screen distance"
"EX M.D.Attack",5,HL,"30x4, 80","30x4, 100","Backflip +3",24,10,-,-10,-,"Armor Break, soft knockdown, juggle potential = hit number minus 1"
"LP M.D.Roll",-,-,-,-,-,-,-,-,-,-,"Rolls backward for 22 frames and 20% screen distance, Mekong Delta Air Raid possible after 6th frame"
"MP M.D.Roll",-,-,-,-,-,-,-,-,-,-,"Rolls backward for 36 frames and 40% screen distance, Mekong Delta Air Raid possible after 6th frame"
"HP M.D.Roll",-,-,-,-,-,-,-,-,-,-,"Rolls backward for 46 frames and 60% screen distance, Mekong Delta Air Raid possible after 6th frame"
"EX M.D.Roll",-,-,-,-,-,-,-,-,-,-,"backward for 45 frames and 80% screen distance, 1-39 projectile invincible, EX MDAR possible after 5th frame"
"M.D.Air Raid",1,H,90,150,"Roll + 30",3,11,11,3,-,"Hit vs airborne causes limited juggle state"
M.D.Escape,-,-,-,-,-,-,-,-,-,-,"Airborne starting on 12th frame, wall jump on 33rd frame, wall jump crosses 80% stage distance, 9 frames landing recovery if no jumping attack is performed after jump"
"EX M.D.Escape",-,-,-,-,-,-,-,-,-,-,"1-32 Invincible, airborne starting with wall jump on 33rd frame, can alter wall jump trajectory with 4 or 6, 9 frame landing recovery if no jumping attack is performed after jump"
Super,4,HL,"50x3, 200",0,0+8,"11,16,17,19",26,-,-19,-,"1-18 invincible, 4 big projectile explosions detonate while Rolento rolls, hard knockdown, juggle potential = hit number"
"Ultra 1",12,HL,"15x7, 45, 15x2, 210,30",0,0+7,"16(13) 8 (25) 11",39,-,-19,-,"Armor Break, Hard Knockdown, Juggle potential is number of hits +6"
"Ultra 2",2,L,"300, 180",0,0+7,14,43,-,-18,-,"Armor Break, 1-10 invincible, 11-20 projectile invincible, tripwire hits 20% screen distance frames 1-10, 40% screen distance frames 11-15, 60% screen distance 16-20"
