move,hits,block,damage,Stun,startup,active,recovery,frame_adv_hit,frame_adv_block,cancel,Notes
"LP Break (ground)",-,-,-,-,-,-,-,-,-,-,"10 frames backward evasive movement, 15 frames recovery - from EX Scramble, 1-23 invincible"
"MP Break (ground)",-,-,-,-,-,-,-,-,-,-,"Stops Scramble motion with 20 frames recovery, same during EX version"
"HP Break (ground)",-,-,-,-,-,-,-,-,-,-,"Moves forward 15 frames then recovers for 17 frames, 1-15 invincible can pass through foes during movement period. Same during EX version (ground)."
"LK Razor Edge Slicer",1,L,80,100,"Scramble +2",6,21,-,-10,SU,"Hard Knockdown, Juggle potential 1"
"EX Razor Edge Slicer",2,L,80120,250,"EX Scramble +10",14,28,-,-21,SU,"Hard Knockdown, Juggle Potential 1"
"MK and HK Scramble",-,-,-,-,-,-,-,-,-,-,"Frames 1-10 on ground, 11-12 airborne, 13-35 invincible, 36-56 airborne, 57-70 landing recovery if no Break or Air Normal used, cancelable into followups from 18-35, air normals and spiral arrow available after 35th frame, requires 41f charge - MK version crosses 120% screen distance, HK version crosses 45% screen distance"
"EX Scramble (air, far, and short)",-,-,-,-,-,-,-,-,-,-,"Frames 1-3 on ground, 4-35 invincible, 36-56 airborne, 57-70 landing recovery if no Break or Air Normal used, cancelable into followups frames 18-35, air normals and Spiral Arrow available after 35th frame, requires 41f charge, MK+HK version crosses 120% screen distance, LK+HK version crosses 45% screen distance"
"LP Break (Air)",-,-,-,-,-,-,-,-,-,-,"airborne and moving backwards frames 1-4 landing recovery frames 5-19, EX version 1-19f invincible"
"MP Break (Air)",-,-,-,-,-,-,-,-,-,-,"airborne and descending frames 1-6, landing recovery frames 7-21, EX version; 14 total frames, 1-14f invincible"
"HP Break (Air)",1,HL,120,180,"Scramble (Air) + 12",9,12,-,-9,SU,"airborne frames 1-8, causes limited juggle state, Soft Knockdown"
"EX Break HP (Air)",1,HL,120,150,"Scramble (Air) + 12",9,12,-,-9,"jump cancelable on hit, SU","Invincible frames 1-6, airborne frames 7-8, causes free juggle state, soft knockdown"
"Cannon Strike",1,HL,60,100,"Scramble (Air) 0+12",11,"Til Landing +5","+16 Max","+6 Max",-,"Hit as low as possible to increase advantage, early hits high on target's body ends up as +2 on hit, -8 on block"
"EX Cannon Strike",1,HL,80,100,"EX Scramble (Air)0+12",11,"Landing +4","+15 Max","+15 Max",-,"Hit as low as possible to increase advantage, early hits high can end up at +1 Hit/Block"
Super,10,HL,"30x9, 90",0,2,"3(9)44(4) 2(17)3",60,-,-50,-,"Projectile Invincible through active frames, hard knockdown, juggle potential 1, requires 41f charge"
"Ultra 1",9,HL,33x9,0,0+15,-,20,-,-39,-,"Projectile lasts 300 frames, hard knockdown, requires 41f charge - all hits have infinite juggle potential, last hit causes free juggle state against ground foes"
"Ultra 2 (Ground)",11,HL,"30,60, 30x7,60x2",0,0+7,4,56,-,-40,-,"Enters cinematic on hit, 1-10f invincible, hard knockdown, requires 41f charge"
"Ultra 2 (Anti-air)",11,HL,"30,60, 30x7,60x2",0,0+4,4,53,-,-,-,"Enters cinematic on anti-air hit, hard knockdown, juggle potential 1, 1-7f invincible, 8-41f airborne, 42-61f landing recovery, requires 41f charge"
