"move","damage","stun","meter","chain","special","super","startup","active","recover","frame_adv_block","frame_adv_hit"
"Toward Throw ",140,100,40,0,0,0,3,2,20,0,"D "
"Back Throw ",140,100,40,0,0,0,3,2,20,0,"D "
"Lightning Legs Light Kick ","15xN ","20xN ","20/10 ","X ","X ","O ",4,0,17,2,6
"Lightning Legs Medium Kick ","15xN ","25xN ","20/10 ","X ","X ","O ",7,0,20,0,4
"Lightning Legs Hard Kick ","15XN ","30xN ","20/10 ","X ","X ","O ",7,0,21,-1,3
"Lightning Legs EX ","40x4 ","50x4 ",0,"X ","X ","O ",4,0,19,1,"D "
"Fireball Light Punch ",50,50,"20/20 ","X ","X ","O ",14,100,44,-4,0
"Fireball Medium Punch ",60,75,"20/20 ","X ","X ","O ",12,77,41,-3,1
"Fireball Hard Punch ",70,100,"20/20 ","X ","X ","O ",10,45,41,-5,-1
"Fireball EX ","50*50 ","50*50 ",0,"X ","X ","O ",10,49,48,-4,0
"Overhead Flip Kick Light Kick ",90,100,"30/40 ","X ","X ","O ",23,2,20,-1,4
"Overhead Flip Kick Medium Kick ",110,150,"30/40 ","X ","X ","O ",25,2,19,0,5
"Overhead Flip Kick Hard Kick ",130,200,"30/40 ","X ","X ","O ",26,2,20,-1,4
"Overhead Flip Kick EX ",170,200,"0/0 ","X ","X ","O ",26,2,20,-1,"D "
"Spinning Bird Kick Light Kick ","32x5 ","36x5 ","20/10 ","X ","X ","X ",13,"2(2) 1(5) 2(4) 2(4) 2 ","10+12 ",-3,1
"Spinning Bird Kick Medium Kick ","25x6*30 ","28x6*32 ","20/10 ","X ","X ","X ",14,"2(2) 1(5) 1(5) 2(4) 2(6) 1(5) 2 ","9+12 ",-2,2
"Spinning Bird Kick Hard Kick ","30x9 ","30x9 ","20/10 ","X ","X ","X ",22,"1(2) 1(5) 2(4) 2(4) 2(6) 2(3) 2(5) 2(4) 2 ","11+12 ",-4,0
"Spinning Bird Kick EX ","30x4+50 ","50x4*60 ","0/0 ","X ","X ","X ",6,"2(1) 2(3) 2(4) 2(3) 2 ","9+9 ",-18,"D "
"Super Light Kick ","30x8*100 ",0,"0/0 ","X ","X ","X ",2,"2(13) 1(3) 1(5) 1(3) 1(5) 1(3) 1(5) 1(17) 2 ",50,-31,"D "
"Super Medium Kick ","30x8*100 ",0,"0/0 ","X ","X ","X ",2,"2(13) 1(3) 1(5) 1(3) 1(5) 1(3) 1(5) 1(17) 2 ",63,-44,"D "
"Super Hard Kick ","30x8*100 ",0,"0/0 ","X ","X ","X ",2,"2(13) 1(3) 1(5) 1(3) 1(5) 1(3) 1(5) 1(17) 2 ",86,-67,"D "
"Ultra 1 ","30x9*190 ",0,"0/0 ","X ","X ","X ",7,"2(7) 2(5) 2(5) 2(5) 2(5) 2(5) 1(6) 1(22) 3 ",65,-47,"D "
"Ultra 2 ","15x19*45 ",0,"0/0 ","X ","X ","X ",10,"2(7) 2(5) 2(5) 2(5) 2(5) 2(5) 1(6) 1(22) 3 ",80,-55,"D "
