"move","block","damage","stun","meter","cancel","startup","active","recover","frame_adv_block","frame_adv_hit"
"Focus Attack Level 2 (Dash Cancel) ","HL ",80,150,40,"- ",29,2,35,4,"- "
"Forward Throw ",0.95,130,140,40,"- ",3,2,20,"- ","- "
"Back Throw ",0.95,130,120,40,"- ",3,2,20,"- ","- "
"Bad Stone Light Punch ","HL ",50,150,"10/20/10","Su ",29,16,44,4,8
"Bad Stone Medium Punch ","HL ",50,100,"10/20/10","Su ",29,20,46,2,6
"Bad Stone Hard Punch ","HL ",50,100,"10/20/10","Su ",29,27,48,0,4
"Bad Stone EX ","HL ","70*50 ","100*100 ","-250/0 ","Su ",24,24,40,6,15
"Criminal Upper Light Punch ","HL ","80*20x3 ","70*30x3 ","20/5x4 ","Su ",13,"2(1)14 ",22,-5,"- "
"Criminal Upper Medium Punch ","HL ","70*20x4 ","70*30x4 ","20/10*5x4 ","Su ",13,"2(1)20 ",23,-8,"- "
"Criminal Upper Hard Punch ","HL ","60*20x5 ","70*30x5 ","20/10*2x5 ","Su ",13,"2(1)18 ",28,-10,"- "
"Criminal Upper EX ","HL ","60*20x6 ","50x30*6 ","-250/0 ","Su ",7,"2(1)12 ",30,-11,"- "
"Ruffian Kick Light Kick ","L ",120,150,"20/40 ","- ",15,8,20,-7,"- "
"Ruffian Kick Medium Kick ","HL ",130,100,"20/40 ","- ",11,4,25,-8,"- "
"Ruffian Kick Hard Kick ","HL ",100,100,"20/40 ","Su ",7,13,27,-19,"- "
"Ruffian Kick EX ","L ",130,150,"-250/0 ","- ",11,7,25,-10,"- "
"Zonk Knuckle Level 1 ","HL ",130,200,"40/40 ","- ",16,3,26,-8,"- "
"Zonk Knuckle Level 2 ","HL ",140,200,"40/40 ","- ",17,3,26,-8,"- "
"Zonk Knuckle Level 3 ","HL ",150,200,"40/40 ","- ",18,3,26,-8,"- "
"Zonk Knuckle EX ","HL ","90*70 ","150*100 ","-250/0 ","Su ",16,"1*2 ",26,-7,"- "
"Super Light Kick ","H*HLx6 ","60*45x5*65 ",0,"-1000/0 ","- ",12,"??? ",30,-16,"- "
"Super Medium Kick ","HL ","60*45x5*65 ",0,"-1000/0 ","- ",8,"??? ",30,-16,"- "
"Super Hard Kick ","HL ","60*45x5*65 ",0,"-1000/0 ","- ",8,"??? ",29,-16,"- "
"Ultra 1 ","HL ","83x385 ",0,"0/0 ","- ",13,2,50,-30,"- "
"Ultra 2 ","HL ","23x7*45x5*120 ",0,"0/0 ","- ",7,"??? ",47,-28,"- "
