"move","block","damage","stun","meter","cancel","startup","active","recover","frame_adv_block","frame_adv_hit"
"Dashing Overhead Punch Medium Punch ","H ",90,150,"20/30 ","Su ",23,5,21,-7,7
"Dashing Overhead Punch Hard Punch ","H ",100,200,"20/30 ","Su ",23,5,21,-8,7
"Dashing Overhead Punch EX ","H ",100,200,"-250/0 ","Su ",23,5,21,-5,7
"Dashing Low Uppercut Light Kick ","HL ",100,100,"20/30 ","Su ",12,8,20,-5,"D "
"Dashing Low Uppercut Medium Kick ","HL ",110,150,"20/30 ","Su ",13,8,20,-7,"D "
"Dashing Low Uppercut Hard Kick ","HL ",120,200,"20/30 ","Su ",13,8,20,-9,"D "
"Dashing Low Uppercut EX ","HL ",120,200,"-250/0 ","Su ",13,8,16,-1,"D "
"Buffalo Headbutt Light Punch ","HL ",100,200,"30/40 ","- ",8,11,"10+13 ",-13,"D "
"Buffalo Headbutt Medium Punch ","HL ",120,200,"30/40 ","- ",10,11,"10+13 ",-13,"D "
"Buffalo Headbutt Hard Punch ","HL ",140,200,"30/40 ","- ",12,11,"9+13 ",-12,"D "
"Buffalo Headbutt EX ","HL ",150,200,"-250/0 ","- ",12,11,"9+13 ",-12,"D "
"Turn Punch Level 1 ","HL ",130,200,"30/40 ","Su ",30,7,13,-2,2
"Turn Punch Level 2 ","HL ",150,210,"30/40 ","Su ",30,7,16,-5,-1
"Turn Punch Level 3 ","HL ",180,220,"30/40 ","Su ",30,8,18,-8,-4
"Turn Punch Level 4 ","HL ",210,230,"30/40 ","Su ",30,9,21,-12,-8
"Turn Punch Level 5 ","HL ",250,240,"30/40 ","Su ",30,10,22,-14,-10
"Turn Punch Level 6 ","HL ",280,250,"30/40 ","Su ",30,11,24,-17,-13
"Turn Punch Level 7 ","HL ",410,260,"30/40 ","Su ",30,12,26,-20,-16
"Turn Punch Level 8 ","HL ",460,270,"30/40 ","Su ",30,13,29,-24,-20
"Turn Punch Level 9 ","HL ",510,280,"30/40 ","Su ",30,15,32,-29,-25
"Turn Punch Final ","HL ",560,290,"30/40 ","Su ",30,16,36,-34,-30
"Super ","HL ","60x4*105 ",0,"-1000/0 ","- ",10,"6(8) 6(7) 6(8) 6(15) 3 ",31,-14,"- "
"Super (???) ","- ","60x4*105 ",0,"-1000/0 ","- ",9,"6(8) 6(8) 6(8) 6(16) 3 ",31,"- ","- "
"Ultra 1 ","HL ","45x2 * 38x2 * 45x2 * 38x2 * 53x3 ",0,"0/0 ","- ",11,"3 * 3(8)3 * 3(7)3 * 3(8)3 * 3(15) x3 ",39,-26,"D "
"Ultra 1 (???) ","- ","45x2 * 38x2 * 45x2 * 38x2 * 53x3 ",0,"0/0 ","- ",10,"3 * 3(8)3 * 3(7)3 * 3(8)3 * 3(16) x3 ",39,-26,"- "
"Ultra 2 ","- ",300,700,"0/0 ","- ",2,3,58,"- ","- "
